Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule
Казань,Аппаратчик смешивания,Нет опыта,95000.0,Оператор производственной линии,Полный день
Елабуга,Оператор БПЛА,От 1 года до 3 лет,65000.0,Другое,Полный день
Казань,Региональный коммерческий представитель,От 3 до 6 лет,,Торговый представитель,Полный день
Казань,SMM-менеджер магазина клубной атрибутики,От 1 года до 3 лет,25000.0,Другое,Полный день
Казань,Помощник по хозяйственным делам на базу,Нет опыта,90000.0,Другое,Полный день
Казань,Специалист по работе с номенклатурой,От 1 года до 3 лет,80000.0,"Оператор ПК, оператор базы данных",Полный день
Казань,Коммерческий директор,От 3 до 6 лет,150000.0,Коммерческий директор (CCO),Полный день
Альметьевск,Финансист,От 1 года до 3 лет,45000.0,Другое,Полный день
Казань,Кладовщик в отдел по работе с маркетплейсами,От 1 года до 3 лет,45000.0,Кладовщик,Полный день
Казань,Главный бухгалтер,От 3 до 6 лет,,Бухгалтер,Полный день
Казань,Офис-менеджер (секретарь),Нет опыта,52500.0,Офис-менеджер,Полный день
Казань,Оператор 1C,От 1 года до 3 лет,60000.0,"Оператор ПК, оператор базы данных",Полный день
Казань,Руководитель службы безопасности,От 1 года до 3 лет,80000.0,Специалист службы безопасности,Полный день
Казань,"Менеджер по работе с клиентами (без продаж, без поиска клиентов)",Нет опыта,55000.0,"Оператор call-центра, специалист контактного центра",Полный день
Казань,Администратор филиала,От 1 года до 3 лет,35000.0,Администратор,Полный день
Казань,Администратор офиса,От 1 года до 3 лет,70000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Набережные Челны,Оператор 1C,От 1 года до 3 лет,60000.0,"Оператор ПК, оператор базы данных",Полный день
Набережные Челны,Специалист в бюро кадров,Нет опыта,40000.0,Специалист по кадрам,Полный день
Казань,Рабочий на производство,От 1 года до 3 лет,100000.0,Монтажник,Полный день
Казань,Няня,От 1 года до 3 лет,240000.0,Другое,Сменный график
Казань,Водитель-экспедитор на легковой автомобиль,Нет опыта,84000.0,Водитель,Полный день
Казань,Личный помощник собственника компании,Нет опыта,550000.0,Другое,Полный день
Казань,Специалист по работе с документацией,Нет опыта,40000.0,"Делопроизводитель, архивариус",Полный день
Казань,Психолог - диагност,От 3 до 6 лет,45000.0,Психолог,Полный день
Казань,Менеджер по закупкам и логистике,Нет опыта,60000.0,Менеджер по закупкам,Полный день
Казань,Менеджер билетной программы,От 1 года до 3 лет,75000.0,Event-менеджер,Полный день
Казань,Юрист,Более 6 лет,85000.0,Юрист,Полный день
Набережные Челны,Главный инженер,От 1 года до 3 лет,170000.0,Инженер по эксплуатации,Полный день
Казань,Ведущий инженер отдела сопровождения строительства,Более 6 лет,205000.0,Руководитель строительного проекта,Полный день
Казань,Руководитель отдела продаж В2В,От 1 года до 3 лет,275000.0,Руководитель отдела продаж,Полный день
Казань,Личный водитель,От 1 года до 3 лет,52000.0,Водитель,Полный день
Казань,"Водитель на служебный автомобиль (Газель, Лада Ларгус)",От 1 года до 3 лет,50000.0,Водитель,Полный день
Казань,"Водитель-экспедитор категории "" В """,От 1 года до 3 лет,90000.0,Водитель,Полный день
Ижевск,Слесарь механосборочных работ,От 1 года до 3 лет,70000.0,Механик,Полный день
Ижевск,Водитель руководителя (Mitsubishi L200),От 3 до 6 лет,69000.0,Водитель,Полный день
Ижевск,Водитель-курьер,Нет опыта,90000.0,Курьер,Полный день
Ижевск,Формовщик деталей и изделий,От 1 года до 3 лет,70000.0,"Токарь, фрезеровщик, шлифовщик",Полный день
Ижевск,Помощник редактора,Нет опыта,53000.0,"Копирайтер, редактор, корректор",Гибкий график
Ижевск,Специалист службы безопасности,От 1 года до 3 лет,110000.0,Специалист службы безопасности,Вахтовый метод
Ижевск,Менеджер на выписку,Нет опыта,40000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Ижевск,Рабочий на завод,Нет опыта,140000.0,Разнорабочий,Вахтовый метод
Ижевск,Помощник по дому,Нет опыта,47000.0,Администратор,Гибкий график
Ижевск,Специалист по кадрам,От 3 до 6 лет,60000.0,Специалист по кадрам,Полный день
Ижевск,Рабочий на оборонный завод,Нет опыта,142000.0,Разнорабочий,Вахтовый метод
Ижевск,Санитарка-санитар (уборщица-уборщик),Нет опыта,24000.0,"Уборщица, уборщик",Полный день
Ижевск,Бухгалтер на первичную документацию,От 1 года до 3 лет,60000.0,Бухгалтер,Полный день
Ижевск,Заместитель главного инженера,От 1 года до 3 лет,87000.0,Другое,Полный день
Ижевск,Бухгалтер по учету материалов,От 3 до 6 лет,,Бухгалтер,Полный день
Ижевск,Техник/ без опыта,Нет опыта,70000.0,"Сервисный инженер, инженер-механик",Полный день
Ижевск,Менеджер по работе с клиентами,От 1 года до 3 лет,82500.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Ижевск,Бухгалтер по заработной плате,От 3 до 6 лет,60000.0,Бухгалтер,Полный день
Ижевск,Менеджер оператор (по выписке документов),От 1 года до 3 лет,45000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Ижевск,Директор по производству,Более 6 лет,225000.0,Начальник производства,Полный день
Ижевск,Менеджер по сопровождению продаж,Нет опыта,60000.0,Координатор отдела продаж,Полный день
Ижевск,Помощник директора по техническим вопросам,От 3 до 6 лет,61500.0,Другое,Полный день
Ижевск,Главный специалист-эксперт в отдел организации назначения и осуществления страховых выплат,Нет опыта,40000.0,Другое,Полный день
Ижевск,Секретарь,От 1 года до 3 лет,40000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Ижевск,Юрист,От 1 года до 3 лет,70000.0,Юрист,Полный день
Ижевск,Руководитель договорного отдела,От 3 до 6 лет,,Специалист по тендерам,Полный день
Ижевск,Делопроизводитель учебного центра,Нет опыта,40000.0,Методист,Полный день
Ижевск,Коммерческий директор,От 3 до 6 лет,187500.0,Коммерческий директор (CCO),Полный день
Ижевск,Администратор (свидание на крыше),Нет опыта,52500.0,Администратор,Гибкий график
Ижевск,Рабочий на военный завод,Нет опыта,145000.0,Разнорабочий,Вахтовый метод
Ижевск,"Стажер IT (нагрузочное тестирование), Ижевск",Нет опыта,42500.0,Тестировщик,Полный день
Ижевск,Водитель-экспедитор (Газель),От 1 года до 3 лет,67500.0,Водитель,Полный день
Ижевск,"Разработчик ""Картины по номерам"" (удаленная работа)",От 1 года до 3 лет,,"Дизайнер, художник",Удаленная работа
Ижевск,"SMM менеджер, помощник маркетолога",Нет опыта,60000.0,"SMM-менеджер, контент-менеджер",Полный день
Ижевск,Бухгалтер/помощник бухгалтера,От 1 года до 3 лет,50000.0,Бухгалтер,Полный день
Ижевск,Слесарь-формовщик,Нет опыта,59000.0,"Слесарь, сантехник",Полный день
Ижевск,Водитель категории В,От 1 года до 3 лет,60000.0,Водитель,Полный день
Ижевск,Системный администратор,От 1 года до 3 лет,60000.0,Системный администратор,Полный день
Ижевск,Чат-менеджер,Нет опыта,48000.0,"SMM-менеджер, контент-менеджер",Гибкий график
Ижевск,Регулировщик радиоэлектронной аппаратуры и приборов,От 1 года до 3 лет,80000.0,"Инженер-электроник, инженер-электронщик",Полный день
Ижевск,Секретарь,От 1 года до 3 лет,40000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Ижевск,Разнорабочий на автозавод/оператор линии,Нет опыта,282500.0,Другое,Полный день
Ижевск,Хостес,Нет опыта,45000.0,Хостес,Полный день
Ижевск,Менеджер по ВЭД,От 3 до 6 лет,200000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день
Ижевск,"Инспектор транспортной безопасности, г. Ижевск",Нет опыта,70000.0,Охранник,Полный день
Ижевск,Помощник руководителя,От 1 года до 3 лет,50000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Ижевск,Офис-менеджер,От 1 года до 3 лет,40000.0,"Делопроизводитель, архивариус",Полный день
Ижевск,"Бухгалтер, помощник экономиста",От 1 года до 3 лет,62500.0,Бухгалтер,Полный день
Ижевск,Ведущий специалист по размещению заказов,Нет опыта,40000.0,Другое,Полный день
Ижевск,Региональный менеджер по безопасности,От 1 года до 3 лет,61800.0,Специалист службы безопасности,Полный день
Ижевск,Копирайтер/рерайтер,Нет опыта,70000.0,"SMM-менеджер, контент-менеджер",Удаленная работа
Ижевск,Помощник руководителя / ассистент руководителя,От 1 года до 3 лет,70000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Глазов,Оператор пункта выдачи заказов,Нет опыта,30000.0,"Оператор ПК, оператор базы данных",Сменный график
Ижевск,Территориальный управляющий,От 1 года до 3 лет,90000.0,Супервайзер,Полный день
Ижевск,Бухгалтер,От 1 года до 3 лет,57500.0,Бухгалтер,Полный день
Ижевск,Помощник логиста,Нет опыта,45000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день
Ижевск,Оператор 1С,От 1 года до 3 лет,42500.0,"Оператор ПК, оператор базы данных",Полный день
Ижевск,Оператор 1C,От 1 года до 3 лет,45000.0,"Оператор ПК, оператор базы данных",Полный день
