Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule,Experience,City,Population,Schedule Encoded
Казань,Бухгалтер,От 1 года до 3 лет,25000.0,Бухгалтер,Удаленная работа,2,Казань,1143600.0,4
Казань,Разработчик-стажер Python (parsing+backend),Нет опыта,100000.0,"Программист, разработчик",Гибкий график,0,Казань,1143600.0,3
Казань,Рабочий на завод,Нет опыта,140000.0,Разнорабочий,Вахтовый метод,0,Казань,1143600.0,5
Казань,Рабочий на военный завод,Нет опыта,145000.0,Разнорабочий,Вахтовый метод,0,Казань,1143600.0,5
Казань,Водитель руководителя,Более 6 лет,80000.0,Водитель,Полный день,7,Казань,1143600.0,1
Набережные Челны,Бухгалтер по первичной документации,От 1 года до 3 лет,60000.0,Бухгалтер,Полный день,2,Набережные Челны,513200.0,1
Казань,UX/UI дизайнер,От 1 года до 3 лет,120000.0,"Дизайнер, художник",Полный день,2,Казань,1143600.0,1
Казань,Модератор вебинаров в онлайн-школу (удаленно),Нет опыта,35000.0,Другое,Удаленная работа,0,Казань,1143600.0,4
Казань,Продавец-консультант (сотрудник копицентра),Нет опыта,50000.0,Другое,Сменный график,0,Казань,1143600.0,2
Казань,Юрисконсульт,От 1 года до 3 лет,80000.0,Юрисконсульт,Полный день,2,Казань,1143600.0,1
Казань,Помощник Нотариуса. Нотариус Салахова Э.М.,От 1 года до 3 лет,80000.0,Юрисконсульт,Полный день,2,Казань,1143600.0,1
Казань,Продавец-кассир,Нет опыта,45000.0,"Продавец-консультант, продавец-кассир",Полный день,0,Казань,1143600.0,1
Казань,Менеджер по продажам (Меркатор),От 1 года до 3 лет,150000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Казань,1143600.0,1
Альметьевск,Оператор производственной линии,Нет опыта,72500.0,Оператор производственной линии,Полный день,0,Альметьевск,146300.0,1
Казань,Управляющий промышленным парком,От 3 до 6 лет,140000.0,Руководитель строительного проекта,Полный день,4,Казань,1143600.0,1
Казань,Суетолог,Нет опыта,470000.0,Агент по недвижимости,Полный день,0,Казань,1143600.0,1
Набережные Челны,Водитель с личным легковым автомобилем,От 3 до 6 лет,100000.0,Водитель,Полный день,4,Набережные Челны,513200.0,1
Набережные Челны,Начальник бюро,От 1 года до 3 лет,110000.0,Экономист,Полный день,2,Набережные Челны,513200.0,1
Казань,Няня,Нет опыта,90000.0,Другое,Полный день,0,Казань,1143600.0,1
Казань,Специалист отдела кадров (неполный рабочий день),От 1 года до 3 лет,50000.0,Специалист по кадрам,Полный день,2,Казань,1143600.0,1
Казань,Вожатый в летний городской лагерь,Нет опыта,22500.0,"Воспитатель, няня",Полный день,0,Казань,1143600.0,1
Казань,Специалист по работе с документами,Нет опыта,52500.0,"Делопроизводитель, архивариус",Полный день,0,Казань,1143600.0,1
Казань,Водитель персональный,Более 6 лет,90000.0,Водитель,Полный день,7,Казань,1143600.0,1
Казань,Аналитик данных,Нет опыта,140000.0,Аналитик,Полный день,0,Казань,1143600.0,1
Казань,Frontend-разработчик,От 1 года до 3 лет,115000.0,"Программист, разработчик",Гибкий график,2,Казань,1143600.0,3
Казань,Помощник по недвижимости (удалённая подработка),Нет опыта,90000.0,Другое,Удаленная работа,0,Казань,1143600.0,4
Казань,Графический дизайнер,От 1 года до 3 лет,87500.0,"Дизайнер, художник",Удаленная работа,2,Казань,1143600.0,4
Казань,Персональный водитель,От 3 до 6 лет,50000.0,Водитель,Полный день,4,Казань,1143600.0,1
Казань,Супервайзер территории,От 1 года до 3 лет,92000.0,Супервайзер,Полный день,2,Казань,1143600.0,1
Казань,Заместитель директора по продажам,От 3 до 6 лет,110000.0,"Директор магазина, директор сети магазинов",Полный день,4,Казань,1143600.0,1
Альметьевск,Диспетчер-логист,От 1 года до 3 лет,50000.0,Диспетчер,Полный день,2,Альметьевск,146300.0,1
Казань,Водитель - снабженец,Нет опыта,70000.0,Водитель,Полный день,0,Казань,1143600.0,1
Казань,Водитель автомобиля,От 3 до 6 лет,62000.0,Водитель,Полный день,4,Казань,1143600.0,1
Казань,Главный бухгалтер,От 1 года до 3 лет,150000.0,Бухгалтер,Полный день,2,Казань,1143600.0,1
Казань,Помощник бизнесвумен,Нет опыта,95000.0,Другое,Сменный график,0,Казань,1143600.0,2
Казань,Оператор ПК,От 1 года до 3 лет,57000.0,"Оператор ПК, оператор базы данных",Полный день,2,Казань,1143600.0,1
